Region	 Date	 Frequency	 Estimated Unemployment Rate (%)	 Estimated Employed	 Estimated Labour Participation Rate (%)	Area
Andhra Pradesh	 31-05-2019	 Monthly	3.65	11999139	43.24	Rural
Andhra Pradesh	 30-06-2019	 Monthly	3.05	11755881	42.05	Rural
Andhra Pradesh	 31-07-2019	 Monthly	3.75	12086707	43.5	Rural
Andhra Pradesh	 31-08-2019	 Monthly	3.32	12285693	43.97	Rural
Andhra Pradesh	 30-09-2019	 Monthly	5.17	12256762	44.68	Rural
Andhra Pradesh	 31-10-2019	 Monthly	3.52	12017412	43.01	Rural
Andhra Pradesh	 30-11-2019	 Monthly	4.12	11397681	41	Rural
Andhra Pradesh	 31-12-2019	 Monthly	4.38	12528395	45.14	Rural
Andhra Pradesh	 31-01-2020	 Monthly	4.84	12016676	43.46	Rural
Andhra Pradesh	 29-02-2020	 Monthly	5.91	11723617	42.83	Rural
Andhra Pradesh	 31-03-2020	 Monthly	4.06	11359660	40.66	Rural
Andhra Pradesh	 30-04-2020	 Monthly	16.29	8792827	36.03	Rural
Andhra Pradesh	 31-05-2020	 Monthly	14.46	9526902	38.16	Rural
Andhra Pradesh	 30-06-2020	 Monthly	0.85	15572975	53.76	Rural
Assam	 31-05-2019	 Monthly	4.29	11749334	57.39	Rural
Assam	 30-06-2019	 Monthly	5.08	8923222	43.87	Rural
Assam	 31-07-2019	 Monthly	4.26	9911534	48.21	Rural
Assam	 31-08-2019	 Monthly	5.79	9292039	45.83	Rural
Assam	 30-09-2019	 Monthly	4.46	11468349	55.67	Rural
Assam	 31-10-2019	 Monthly	4.65	8395906	40.76	Rural
Assam	 30-11-2019	 Monthly	4.66	9625362	46.64	Rural
Assam	 31-01-2020	 Monthly	4.29	11420996	54.9	Rural
Assam	 29-02-2020	 Monthly	3.26	8462814	40.17	Rural
Assam	 31-03-2020	 Monthly	3.77	9878742	47.05	Rural
Assam	 31-05-2020	 Monthly	9.38	9926176	50	Rural
Assam	 30-06-2020	 Monthly	0	7544937	34.38	Rural
Bihar	 31-05-2019	 Monthly	9.27	24322330	39.75	Rural
Bihar	 30-06-2019	 Monthly	10.2	24097712	39.71	Rural
Bihar	 31-07-2019	 Monthly	13.44	23248875	39.66	Rural
Bihar	 31-08-2019	 Monthly	11	22260203	36.85	Rural
Bihar	 30-09-2019	 Monthly	8.87	23905700	38.57	Rural
Bihar	 31-10-2019	 Monthly	12.47	24053140	40.31	Rural
Bihar	 30-11-2019	 Monthly	12.4	22445989	37.51	Rural
Bihar	 31-12-2019	 Monthly	10.16	22914530	37.25	Rural
Bihar	 31-01-2020	 Monthly	9.13	23409006	37.54	Rural
Bihar	 29-02-2020	 Monthly	9.61	23168192	37.28	Rural
Bihar	 31-03-2020	 Monthly	15.39	22667882	38.88	Rural
Bihar	 30-04-2020	 Monthly	45.09	14645275	38.63	Rural
Bihar	 31-05-2020	 Monthly	47.26	14050319	38.5	Rural
Bihar	 30-06-2020	 Monthly	20.49	20622566	37.4	Rural
Chhattisgarh	 31-05-2019	 Monthly	9.82	6259019	42.89	Rural
Chhattisgarh	 30-06-2019	 Monthly	6.76	6608626	43.71	Rural
